Major,Subject,Type,Teacher,Mode
EP,Podstawy elektrotechniki i elektroniki,wyk,mgr inż. Andrzej Masny,Stacjonarne
EP,Podstawy elektrotechniki i elektroniki,ćw,mgr inż. Andrzej Masny,Stacjonarne
EP,Podstawy konstrukcji maszyn II,proj,dr inż. Marek Praszkiewicz,Niestacjonarne Wieczorowe
EP,Podstawy konstrukcji maszyn II,proj,dr inż. Marek Praszkiewicz,Stacjonarne
EP,Podstawy rekonstrukcji wypadków drogowych,lab,prof. UBB dr hab. inż. Krzysztof Parczewski,Stacjonarne
EP,Projektowanie procesów obróbki,proj,dr inż. Piotr Zyzak,Stacjonarne
EP,Seminarium dyplomowe I,sem,prof. UBB dr hab. inż. Jacek Nowakowski,Stacjonarne
EP,Technologie spajania,wyk,prof. UBB dr hab. inż. Jacek Pezda,Niestacjonarne Wieczorowe
EP,Technologie spajania,wyk,prof. UBB dr hab. inż. Jacek Pezda,Stacjonarne
EP,Termodynamika techniczna,lab,dr inż. Krzysztof Sikora,Niestacjonarne Wieczorowe
EP,Termodynamika techniczna,wyk,dr inż. Krzysztof Sikora,Niestacjonarne Wieczorowe
EP,Termodynamika techniczna,ćw,dr inż. Krzysztof Sikora,Niestacjonarne Wieczorowe
EP,Wymagania homologacyjne w budowie pojazdów,wyk,dr inż. Henryk Wnęk,Stacjonarne
EP,Wytrzymałość materiałów I,ćw,dr inż. Jerzy Kopeć,Niestacjonarne Wieczorowe
EP,Wytrzymałość materiałów III,lab,mgr inż. Mateusz Śliwka,Stacjonarne
EP,Zasilanie i osprzęt silników,lab,prof. UBB dr hab. inż. Tomasz Knefel,Stacjonarne
EP,Zasilanie i osprzęt silników,wyk,prof. UBB dr hab. inż. Tomasz Knefel,Stacjonarne
Inf,Algorytmy i struktury danych,lab,dr Jacek Mrowiec,Stacjonarne
Inf,Algorytmy i struktury danych,lab,dr inż. Elżbieta Sadowska-Owczorz,Stacjonarne
Inf,Algorytmy i struktury danych,lab,mgr inż. Dorota Śliwińska,Niestacjonarne
Inf,Algorytmy i struktury danych,wyk,dr Jacek Mrowiec,Niestacjonarne
Inf,Algorytmy i struktury danych,wyk,dr Jacek Mrowiec,Stacjonarne
Inf,Am,wyk,prof. UBB dr hab. Szymon Wąsowicz,Stacjonarne
Inf,Am,ćw,prof. UBB dr hab. Szymon Wąsowicz,Stacjonarne
Inf,Analiza matematyczna II,wyk,dr Dawid Kotrys,Stacjonarne
Inf,Analiza matematyczna II,ćw,dr Dawid Kotrys,Stacjonarne
Inf,Analiza matematyczna II,ćw,dr Mirosław Adamek,Stacjonarne
Inf,Badania operacyjne i optymalizacja,lab,dr inż. Jerzy Marszałek,Niestacjonarne
Inf,Badania operacyjne i optymalizacja,wyk,dr inż. Jerzy Marszałek,Niestacjonarne
Inf,Bezpieczeństwo sieci Web,lab,dr inż. Ruslan Shevchuk,Niestacjonarne
Inf,Bezpieczeństwo systemów serwerowych,lab,dr inż. Tomasz Gancarczyk,Stacjonarne
Inf,Bezpieczeństwo technologii mobilnych,lab,mgr inż. Olga Veselska,Stacjonarne
Inf,Cyfrowe przetwarzanie sygnałów I,wyk,prof. dr hab. Vasyl Martsenyuk,Niestacjonarne
Inf,Dsp(pwjaPsc),lab,prof. dr hab. Vasyl Martsenyuk,Stacjonarne
Inf,Dsp(pwjaPsc),wyk,prof. dr hab. Vasyl Martsenyuk,Stacjonarne
Inf,Eksploracja zbiorów Big Data,lab,dr inż. Ruslana Ziubina,Niestacjonarne
Inf,Eksploracja zbiorów Big Data,wyk,dr inż. Ruslana Ziubina,Niestacjonarne
Inf,Fizyka,wyk,dr Aleksandra Kłos-Witkowska,Niestacjonarne
Inf,Fizyka,wyk,dr Aleksandra Kłos-Witkowska,Stacjonarne
Inf,Fizyka,ćw,dr Aleksandra Kłos-Witkowska,Niestacjonarne
Inf,Fizyka,ćw,dr Aleksandra Kłos-Witkowska,Stacjonarne
Inf,Grafika komputerowa,lab,mgr inż. Mikołaj Grygiel,Niestacjonarne
Inf,Grafika komputerowa,lab,mgr inż. Mikołaj Grygiel,Stacjonarne
Inf,Grafika komputerowa,lab,prof. dr hab. Vasyl Martsenyuk,Niestacjonarne
Inf,Grafika komputerowa,lab,prof. dr hab. Vasyl Martsenyuk,Stacjonarne
Inf,Grafika komputerowa,wyk,prof. dr hab. Vasyl Martsenyuk,Niestacjonarne
Inf,Inteligentne przetwarzanie multimediów,wyk,dr Marcin Bernaś,Niestacjonarne
Inf,Inteligentny transport i pojazdy autonomiczne,wyk,dr Marcin Bernaś,Niestacjonarne
Inf,Interfejs w aplikacjach internetowych,lab,dr Marcin Bernaś,Niestacjonarne
Inf,Interfejs w aplikacjach internetowych,lab,mgr inż. Patryk Giertuga,Stacjonarne
Inf,Interfejs w aplikacjach internetowych,lab,mgr inż. Piotr Soszka,Stacjonarne
Inf,Interfejs w aplikacjach internetowych,wyk,dr Marcin Bernaś,Stacjonarne
Inf,Komunikacja społeczna i aktywizacja zawodowa,wyk,prof. UBB dr hab. inż. Izabela Kutschenreiter-Praszkiewicz,Niestacjonarne
Inf,Linie i systemy światłowodowe I,wyk,dr inż. Ruslana Ziubina,Niestacjonarne
Inf,Matematyka dyskretna,wyk,prof. UBB dr hab. inż. Stanisław Zawiślak,Stacjonarne
Inf,Matematyka dyskretna,ćw,prof. UBB dr hab. inż. Stanisław Zawiślak,Stacjonarne
Inf,Matematyka dyskretna II,wyk,dr hab. Wojciech Wieczorek,Niestacjonarne
Inf,Matematyka dyskretna II,ćw,dr hab. Wojciech Wieczorek,Niestacjonarne
Inf,Matematyka konkretna,ćw,prof. dr hab. Vasyl Martsenyuk,Niestacjonarne
Inf,Metody probabilistyczne i statystyka,wyk,dr Mirosław Adamek,Stacjonarne
Inf,Metody probabilistyczne i statystyka,ćw,dr Mirosław Adamek,Stacjonarne
Inf,Metody probabilistyczne i statystyka,ćw,mgr inż. Dorota Śliwińska,Stacjonarne
Inf,Metody probablistyczne,wyk,prof. UBB dr hab. Szymon Wąsowicz,Niestacjonarne
Inf,Metody probablistyczne,ćw,mgr inż. Dorota Śliwińska,Niestacjonarne
Inf,Metody sztucznej inteligencji,lab,mgr inż. Patryk Giertuga,Niestacjonarne
